collection,status,type,pid,handle,title
umd:2,Complete,UMD_TEI,umd:982,hdl:1903.1/273,Map and Bird's Eye View
umd:2,Complete,UMD_TEI,umd:1000,hdl:1903.1/14,Paris 1900: Grand Palais
umd:2,Complete,UMD_TEI,umd:1001,hdl:1903.1/19,Paris 1900: Petit Palais
umd:2,Complete,UMD_TEI,umd:1002,hdl:1903.1/15,Buffalo 1901: Pan-American Exposition Bird's Eye View of Grounds and Map of Exposition
umd:2,Complete,UMD_TEI,umd:1003,hdl:1903.1/13,The Court of Honor
umd:2,Complete,UMD_TEI,umd:1004,hdl:1903.1/16,Temple of Music
umd:2,Complete,UMD_TEI,umd:1005,hdl:1903.1/17,"London 1908, Machinery Hall"
umd:2,Complete,UMD_TEI,umd:1006,hdl:1903.1/18,Palace of Fine Arts
umd:2,Complete,UMD_TEI,umd:1007,hdl:1903.1/27,A Century of Progress Exposition Official Book of Views
umd:2,Complete,UMD_TEI,umd:1008,hdl:1903.1/21,Belgian Pavilion
umd:2,Complete,UMD_TEI,umd:1009,hdl:1903.1/23,Trylon and Perisphere
umd:2,Complete,UMD_TEI,umd:1010,hdl:1903.1/33,The San Francisco Golden Gate Exhibition 1939-1940
umd:2,Complete,UMD_TEI,umd:1011,hdl:1903.1/29,"Le Corbusier: Philips Pavilion, Brussels, 1958"
umd:2,Complete,UMD_TEI,umd:1012,hdl:1903.1/26,"Montreal, 1967 Map"
umd:2,Complete,UMD_TEI,umd:1013,hdl:1903.1/34,"1883 Colonial Exposition, Amsterdam"
umd:2,Complete,UMD_TEI,umd:1014,hdl:1903.1/20,"The Demolition of the Crystal Palace, 1936-1941"
umd:2,Complete,UMD_TEI,umd:1015,hdl:1903.1/22,Festival Hall
umd:2,Complete,UMD_TEI,umd:1016,hdl:1903.1/32,La Ronde
umd:2,Complete,UMD_TEI,umd:1017,hdl:1903.1/35,Paris 1889
umd:2,Complete,UMD_TEI,umd:1018,hdl:1903.1/36,Panorama of the Panama-California Exposition
umd:2,Complete,UMD_TEI,umd:1019,hdl:1903.1/30,Bird's-Eye View of the Louisiana Purchase Exposition
umd:2,Complete,UMD_TEI,umd:1020,hdl:1903.1/31,Tower of Jewels
umd:2,Complete,UMD_TEI,umd:983,hdl:1903.1/297,Memorial Hall
umd:2,Complete,UMD_TEI,umd:984,hdl:1903.1/295,"Machinery Hall, Centennial Exposition 1876, Philadelphia"
umd:2,Complete,UMD_TEI,umd:985,hdl:1903.1/305,Festival Hall
umd:2,Complete,UMD_TEI,umd:986,hdl:1903.1/310,Dublin 1853 Main Hall
umd:2,Complete,UMD_TEI,umd:987,hdl:1903.1/311,"Crystal Palace, Exterior"
umd:2,Complete,UMD_TEI,umd:988,hdl:1903.1/304,P. H. Delamotte Photograph of the Interior of the Crystal Palace
umd:2,Complete,UMD_TEI,umd:989,hdl:1903.1/303,The New York Crystal Palace: The Birth of a Building
umd:2,Complete,UMD_TEI,umd:990,hdl:1903.1/298,Paris 1855
umd:2,Complete,UMD_TEI,umd:991,hdl:1903.1/312,Plan of the Weltausstellung
umd:2,Complete,UMD_TEI,umd:992,hdl:1903.1/276,The Rotunda of the 1873 Vienna International Exhibition
umd:2,Complete,UMD_TEI,umd:993,hdl:1903.1/274,Statue of Liberty Ribbon
umd:2,Complete,UMD_TEI,umd:994,hdl:1903.1/308,"Plan of Champ de Mars, Paris 1889"
