F2 PID,F2 TYPE,F2 STATUS,F2 COLLECTIONS,Object Type,Identifier,Rights Statement,Title,Handle/Link,Format,Archival Collection,Date,dcterms:temporal,Description,Bibliographic Citation,Alternate Title,Creator,Creator URI,Contributor,Contributor URI,Publisher,Publisher URI,Location,Extent,Subject,Language,Rights Holder,Collection Information,Accession Number,FILES
umd:3453,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3453|hdl:1903.1/1796,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/archivesum/contact.jsp","Testudo as a Newspaper Editor, 1935",https://hdl.handle.net/1903.1/1796,http://vocab.lib.umd.edu/form#drawings,,1935,1931-1940,"Testudo portrayed as a newspaper editor at a typewriter, 1935.","University Archives, UPUB S36.002",,,,,,,,North America|United States of America|Maryland|College Park|North America|United States|Maryland|College Park,1 images; monochrome,"University of Maryland|People|Book illustrations|Illustrations|Mascots|Testudo|University of Maryland, College Park",,University of Maryland,,,
umd:3459,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3459|hdl:1903.1/1799,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/archivesum/contact.jsp","A Woman Dressed as Cleopatra during a May Day Celebration, 1937",https://hdl.handle.net/1903.1/1799,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0184-UA,1937,1931-1940,"Men in costume carrying a female student in a Cleopatra Costume, 1937.","May Day Collections, Folder 1937",,,,,,,,North America|United States of America|Maryland|College Park|North America|United States|Maryland|College Park,1 images; monochrome,"University of Maryland|People|Events|Costumes|May Day|Rites & ceremonies|Students|University of Maryland, College Park",,unknown,,,
umd:3543,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3543|hdl:1903.1/1836,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/archivesum/contact.jsp","Men in Car on Campus, 1937",https://hdl.handle.net/1903.1/1836,http://vocab.lib.umd.edu/form#photographs,,1937,1931-1940,"7 men in a car on campus, 1937.","University Archives, UPUB S36.002",,,,,,,,North America|United States of America|Maryland|College Park|North America|United States|Maryland|College Park,1 images; monochrome,"University of Maryland|Campus and Buildings|People|Automobiles|Group portraits|Portrait photographs|Students|University of Maryland, College Park",,University of Maryland,,,
umd:3642,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3642|hdl:1903.1/1885,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/archivesum/contact.jsp","Terrapin Cartoon: 'Major Sports', 1935",https://hdl.handle.net/1903.1/1885,http://vocab.lib.umd.edu/form#drawings,,1935,1931-1940,"'Major Sports' Cartoon from the Terrapin, 1935.","University Archives, UPUB S36.002",,,,,,,,North America|United States of America|Maryland|College Park|North America|United States|Maryland|College Park,1 images; monochrome,"University of Maryland|Sports, Recreation|Sports|Book illustrations|Drawings|Mascots|Sports|Testudo|University of Maryland, College Park",,University of Maryland,,,
umd:3644,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3644|hdl:1903.1/1886,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/archivesum/contact.jsp","'Social' Testudo Cartoon from the Terrapin, 1935",https://hdl.handle.net/1903.1/1886,http://vocab.lib.umd.edu/form#drawings,,1935,1931-1940,"'Social' Testudo Cartoon from the Terrapin, 1935.","University Archives, UPUB S36.002",,,,,,,,North America|United States of America|Maryland|College Park|North America|United States|Maryland|College Park,1 images; monochrome,"University of Maryland|People|Book illustrations|Drawings|Mascots|Testudo|University of Maryland, College Park",,University of Maryland,,,
umd:3682,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3682|hdl:1903.1/1905,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/archivesum/contact.jsp","Fraternity Members Toasting with Beer Steins, 1948",https://hdl.handle.net/1903.1/1905,http://vocab.lib.umd.edu/form#photographs,,1948,1941-1950,"Male fraternity members dressed in suits, standing in a circle and toasting one another with beer steins, 1948.","University Archives, UPUB S36.002",,,,,,,,North America|United States of America|Maryland|College Park|North America|United States|Maryland|College Park,1 images; monochrome,"University of Maryland|People|Fraternities & sororities|Men|Rites & ceremonies|Student organizations|Students|University of Maryland, College Park",,University of Maryland,,,
umd:3743,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3743|hdl:1903.1/1935|Map Case 3 Drawer 6,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/archivesum/contact.jsp","Woman Sitting on Top of the Testudo Statue and Talking to a Male Student, ca. 1940-1950",https://hdl.handle.net/1903.1/1935,http://vocab.lib.umd.edu/form#photographs,,1940/1950,1941-1950,"Woman Sitting on Top of the Testudo Statue and Talking to a Male Student, ca. 1940-1950.",University Archives,,,,,,,,North America|United States|Maryland|College Park,black and white; 1 image,"University of Maryland|Clothing & dress|Mascots|Students|Testudo|University of Maryland, College Park|People",,unknown,,,
umd:3771,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3771|hdl:1903.1/1949,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/archivesum/contact.jsp","Steeple being constructed on Memorial Chapel, 1952",https://hdl.handle.net/1903.1/1949,http://vocab.lib.umd.edu/form#photographs,,1952,1951-1960,"Picture of the Chapel under construction, specifically the Steeple structure being built, 1952.",University Archives,,,,,,,,North America|United States|Maryland|College Park,color; 1 image,"University of Maryland|Buildings|Construction|Memorial Chapel|University of Maryland, College Park|Campus and Buildings",,,,,
umd:3867,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3867|hdl:1903.1/1997,"Midwest Photo Company Inc., P.O. Box 686 Downtown Station, Omaha Nebraska, 68101.","Tom McMillen and Len Elmore, basketball captains, circa 1973-1974",https://hdl.handle.net/1903.1/1997,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0052-UA,1973/1974,1971-1980,"Co-captains of the Terp Men's Basketball team, Tom McMillen and Len Elmore, pictured at practice, ca. 1973-1974.","Department of Intercollegiate Athletics records, Box 15, Folder 1973-1974 Basketball (Photos and Contact Sheets)",,,,,,,,North America|United States of America|Maryland|North America|United States|Maryland|College Park,1 images; monochrome,"Sports, Recreation|University of Maryland|Sports|People|Basketball|Coaches (Athletics)|Cole Field House|McMillen, Tom, 1952-|Men|Sports|University of Maryland, College Park",,Midwest Photo Company Inc.,,,
umd:3886,UMD_IMAGE,Deleted,umd:3391,http://purl.org/dc/dcmitype/Image,umd:3886|hdl:1903.1/2007,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/archivesum/contact.jsp","Ladies Dancing Around the May Pole, 1949",https://hdl.handle.net/1903.1/2007,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0184-UA,1949,1941-1950,"Women dancing around the May Pole in front of the Administration building while students watch, 1949. Notable - this is a color photograph, showing the colours of the women's dresses.","May Day Collections, Box slides",,,,,,,,North America|United States of America|Maryland|College Park|North America|United States|Maryland|College Park,1 images; color,"University of Maryland|Campus and Buildings|Buildings|Clothing & dress|Costumes|May Day|May poles|Students|Women|University of Maryland, College Park",,unknown,,,
