F2 PID,F2 TYPE,F2 STATUS,F2 COLLECTIONS,Object Type,Identifier,Rights Statement,Title,Handle/Link,Format,Archival Collection,Date,dcterms:temporal,Description,Bibliographic Citation,Alternate Title,Creator,Creator URI,Contributor,Contributor URI,Publisher,Publisher URI,Location,Extent,Subject,Language,Rights Holder,Collection Information,Accession Number,FILES
umd:55321,UMD_TEI,Incomplete,,<unknown>,umd:55321|hdl:1903.1/5340,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/5340,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:55323,UMD_TEI,Incomplete,,<unknown>,umd:55323|hdl:1903.1/5343,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/5343,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:55601,UMD_TEI,Incomplete,,<unknown>,umd:55601|hdl:1903.1/5474,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/5474,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:55611,UMD_TEI,Incomplete,,<unknown>,umd:55611|hdl:1903.1/5480,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/5480,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:55881,UMD_TEI,Incomplete,,<unknown>,umd:55881|hdl:1903.1/5615,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/5615,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:56411,UMD_TEI,Incomplete,,<unknown>,umd:56411|hdl:1903.1/5868,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/5868,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:56855,UMD_TEI,Incomplete,,<unknown>,umd:56855|hdl:1903.1/5919,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/5919,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:57386,UMD_TEI,Incomplete,,<unknown>,umd:57386|hdl:1903.1/5983,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/5983,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:57391,UMD_IMAGE,Incomplete,,<unknown>,umd:57391|hdl:1903.1/12371,http://rightsstatements.org/vocab/UND/1.0/,Error reading umdm.xml: [Errno 2] No such file or directory: '/processing/processing/hdd/f2export/umd_57391/umdm.xml',https://hdl.handle.net/1903.1/12371,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:59592,UMD_TEI,Incomplete,,<unknown>,umd:59592|hdl:1903.1/6459,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/6459,<unknown>,,,,,,,,,,,,,,,,,,,,
