F2 PID,F2 TYPE,F2 STATUS,F2 COLLECTIONS,Object Type,Identifier,Rights Statement,Title,Handle/Link,Format,Archival Collection,Date,dcterms:temporal,Description,Bibliographic Citation,Alternate Title,Creator,Creator URI,Contributor,Contributor URI,Publisher,Publisher URI,Location,Extent,Subject,Language,Rights Holder,Collection Information,Accession Number,FILES
umd:55423,UMD_TEI,Pending,umd:50580,<unknown>,umd:55423|hdl:1903.1/5382,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/5382,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:68301,UMD_TEI,Pending,umd:3392,<unknown>,umd:68301|hdl:1903.1/8797,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/8797,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:68450,UMD_TEI,Pending,,<unknown>,umd:68450|hdl:1903.1/8829,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/8829,<unknown>,,,,,,,,,,,,,,,,,,,,umd_68450/umd_68451/image.jpg|umd_68450/umd_68451/histmss-012061-0022.jpg
umd:70076,UMD_TEI,Pending,,<unknown>,umd:70076|hdl:1903.1/9219,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/9219,<unknown>,,,,,,,,,,,,,,,,,,,,umd_70076/umd_70077/image.jpg|umd_70076/umd_70077/histmss-012160-0034.jpg|umd_70076/umd_70078/image.jpg|umd_70076/umd_70078/histmss-012160-0034.jpg
umd:70693,UMD_TEI,Pending,umd:15237,<unknown>,umd:70693|hdl:1903.1/9311,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/9311,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:72338,UMD_TEI,Pending,,<unknown>,umd:72338|hdl:1903.1/9503,http://rightsstatements.org/vocab/UND/1.0/,Error reading umdm.xml: [Errno 2] No such file or directory: '/processing/processing/hdd/f2export/umd_72338/umdm.xml',https://hdl.handle.net/1903.1/9503,<unknown>,,,,,,,,,,,,,,,,,,,,umd_72338/umd_72339/image.jpg|umd_72338/umd_72339/bna-012412-0027.jpg
umd:75766,UMD_TEI,Pending,,<unknown>,umd:75766|hdl:1903.1/10373,http://rightsstatements.org/vocab/UND/1.0/,Error reading umdm.xml: [Errno 2] No such file or directory: '/processing/processing/hdd/f2export/umd_75766/umdm.xml',https://hdl.handle.net/1903.1/10373,<unknown>,,,,,,,,,,,,,,,,,,,,umd_75766/umd_75767/image.jpg|umd_75766/umd_75767/ntl-013220-0001.jpg
umd:77297,UMD_IMAGE,Pending,umd:15237,http://purl.org/dc/dcmitype/Image,umd:77297|hdl:1903.1/10972,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/NTL/queries.html.","Horticultural Hall, Fairmount Park, Philadelphia, Pennsylvania, circa 1907-190?",https://hdl.handle.net/1903.1/10972,http://vocab.lib.umd.edu/form#prints,http://vocab.lib.umd.edu/collection#0001-MDHC-NTL,1907,1901-1910,"Horticultural Hall, Fairmount Park, Philadelphia, Pennsylvania, circa 1907-190? Postmark date: August 5, 190?; Postcard number: 1861; Message included.",National Trust Library Postcard Collection,"Horticultural Hall, Fairmount Park, Philadelphia, Pa",,,,,Illustrated Post Card Co.,,North America|United States of America|New York|New York|North America|United States of America|Pennsylvania|Philadelphia,2 images; Postcard; color,"Architecture, Landscape, Historic Places|Parks|Postcards",,Public Domain,,,
umd:81361,UMD_TEI,Pending,umd:3391,<unknown>,umd:81361|hdl:1903.1/12426,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/12426,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:83548,UMD_TEI,Pending,,<unknown>,umd:83548|hdl:1903.1/12815,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/12815,<unknown>,,,,,,,,,,,,,,,,,,,,
umd:83823,UMD_TEI,Pending,,<unknown>,umd:83823|hdl:1903.1/12853,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/12853,<unknown>,,,,,,,,,,,,,,,,,,,,umd_83823/umd_83824/image.jpg|umd_83823/umd_83824/ntl-015057-0001.jpg
umd:85238,UMD_TEI,Pending,,<unknown>,umd:85238|hdl:1903.1/13152,http://rightsstatements.org/vocab/UND/1.0/,,https://hdl.handle.net/1903.1/13152,<unknown>,,,,,,,,,,,,,,,,,,,,umd_85238/umd_85239/image.jpg|umd_85238/umd_85239/ntl-015358-0001.jpg
umd:87643,UMD_BOOK,Pending,umd:11575,http://purl.org/dc/dcmitype/Text,umd:87643|hdl:1903.1/13529|461-003,この画像の原本は著作権によって保護されています。アメリカ合衆国著作権法 （タイトル17、107条）に則り、学術的目的、研究、批評、解説、教育といった 公正な理由（フェア・ユース）の範囲内で個人的使用の目的のためだけにこの画 像を複製することができます。複製が合衆国著作権法に合致するものであるか どうかの判断と使用違反の責任は、複製を行う利用者に委ねられます。合衆国外 での複製に関しては、当該国の著作権法が適用され複製の妥当性と違反責任は複 製を行う利用者に委ねられます。掲載資料の著作権の帰属に関するご質問は：prangebunko@umd.edu,フクチャン傑作集 / Fuku-chan kessakushu,https://hdl.handle.net/1903.1/13529,Not Mapped: Prose,,1947-07-20,,,"Gordon W. Prange Collection, ゴードン W. プランゲ文庫",,,,,,,,Asia|Japan,,"Children's literature, Japanese Japan Allied occupation, 1945-1952",jpn,,,,
umd:87663,UMD_BOOK,Pending,umd:11575,http://purl.org/dc/dcmitype/Text,umd:87663|hdl:1903.1/13530|461-004,この画像の原本は著作権によって保護されています。アメリカ合衆国著作権法 （タイトル17、107条）に則り、学術的目的、研究、批評、解説、教育といった 公正な理由（フェア・ユース）の範囲内で個人的使用の目的のためだけにこの画 像を複製することができます。複製が合衆国著作権法に合致するものであるか どうかの判断と使用違反の責任は、複製を行う利用者に委ねられます。合衆国外 での複製に関しては、当該国の著作権法が適用され複製の妥当性と違反責任は複 製を行う利用者に委ねられます。掲載資料の著作権の帰属に関するご質問は：prangebunko@umd.edu,フクチャンＡＢＣ / Fuku-chan abc,https://hdl.handle.net/1903.1/13530,Not Mapped: Prose,,1946-03-20,,,"Gordon W. Prange Collection, ゴードン W. プランゲ文庫",,,,,,,,Asia|Japan,,"Children's literature, Japanese Japan Allied occupation, 1945-1952",jpn,,,,
umd:87682,UMD_BOOK,Pending,umd:11575,http://purl.org/dc/dcmitype/Text,umd:87682|hdl:1903.1/13531|461-005,この画像の原本は著作権によって保護されています。アメリカ合衆国著作権法 （タイトル17、107条）に則り、学術的目的、研究、批評、解説、教育といった 公正な理由（フェア・ユース）の範囲内で個人的使用の目的のためだけにこの画 像を複製することができます。複製が合衆国著作権法に合致するものであるか どうかの判断と使用違反の責任は、複製を行う利用者に委ねられます。合衆国外 での複製に関しては、当該国の著作権法が適用され複製の妥当性と違反責任は複 製を行う利用者に委ねられます。掲載資料の著作権の帰属に関するご質問は：prangebunko@umd.edu,フクチャンＡＢＣ / Fuku-chan abc,https://hdl.handle.net/1903.1/13531,Not Mapped: Prose,,1948-06-20,,,"Gordon W. Prange Collection, ゴードン W. プランゲ文庫",,,,,,,,Asia|Japan,,"Children's literature, Japanese Japan Allied occupation, 1945-1952",jpn,,,,
umd:87700,UMD_BOOK,Pending,umd:11575,http://purl.org/dc/dcmitype/Text,umd:87700|hdl:1903.1/13532|461-006,この画像の原本は著作権によって保護されています。アメリカ合衆国著作権法 （タイトル17、107条）に則り、学術的目的、研究、批評、解説、教育といった 公正な理由（フェア・ユース）の範囲内で個人的使用の目的のためだけにこの画 像を複製することができます。複製が合衆国著作権法に合致するものであるか どうかの判断と使用違反の責任は、複製を行う利用者に委ねられます。合衆国外 での複製に関しては、当該国の著作権法が適用され複製の妥当性と違反責任は複 製を行う利用者に委ねられます。掲載資料の著作権の帰属に関するご質問は：prangebunko@umd.edu,アップルアッチャン / Appuru atchan,https://hdl.handle.net/1903.1/13532,Not Mapped: Prose,,1947-10-10,,,"Gordon W. Prange Collection, ゴードン W. プランゲ文庫",,,,,,,,Asia|Japan,,"Children's literature, Japanese Japan Allied occupation, 1945-1952",jpn,,,,
umd:87712,UMD_BOOK,Pending,umd:11575,http://purl.org/dc/dcmitype/Text,umd:87712|hdl:1903.1/13533|461-007,この画像の原本は著作権によって保護されています。アメリカ合衆国著作権法 （タイトル17、107条）に則り、学術的目的、研究、批評、解説、教育といった 公正な理由（フェア・ユース）の範囲内で個人的使用の目的のためだけにこの画 像を複製することができます。複製が合衆国著作権法に合致するものであるか どうかの判断と使用違反の責任は、複製を行う利用者に委ねられます。合衆国外 での複製に関しては、当該国の著作権法が適用され複製の妥当性と違反責任は複 製を行う利用者に委ねられます。掲載資料の著作権の帰属に関するご質問は：prangebunko@umd.edu,荒武者旅日記 / Aramusha tabinikki,https://hdl.handle.net/1903.1/13533,Not Mapped: Prose,,1949-03-01,,,"Gordon W. Prange Collection, ゴードン W. プランゲ文庫",,,,,,,,Asia|Japan,,"Children's literature, Japanese Japan Allied occupation, 1945-1952",jpn,,,,
umd:87734,UMD_BOOK,Pending,umd:11575,http://purl.org/dc/dcmitype/Text,umd:87734|hdl:1903.1/13534|461-008,この画像の原本は著作権によって保護されています。アメリカ合衆国著作権法 （タイトル17、107条）に則り、学術的目的、研究、批評、解説、教育といった 公正な理由（フェア・ユース）の範囲内で個人的使用の目的のためだけにこの画 像を複製することができます。複製が合衆国著作権法に合致するものであるか どうかの判断と使用違反の責任は、複製を行う利用者に委ねられます。合衆国外 での複製に関しては、当該国の著作権法が適用され複製の妥当性と違反責任は複 製を行う利用者に委ねられます。掲載資料の著作権の帰属に関するご質問は：prangebunko@umd.edu,小ネズミ一家 / Konezumi ikka,https://hdl.handle.net/1903.1/13534,Not Mapped: Prose,,1947-04-05,,,"Gordon W. Prange Collection, ゴードン W. プランゲ文庫",,,,,,,,Asia|Japan,,"Children's literature, Japanese Japan Allied occupation, 1945-1952",jpn,,,,
umd:87742,UMD_BOOK,Pending,umd:11575,http://purl.org/dc/dcmitype/Text,umd:87742|hdl:1903.1/13535|461-009,この画像の原本は著作権によって保護されています。アメリカ合衆国著作権法 （タイトル17、107条）に則り、学術的目的、研究、批評、解説、教育といった 公正な理由（フェア・ユース）の範囲内で個人的使用の目的のためだけにこの画 像を複製することができます。複製が合衆国著作権法に合致するものであるか どうかの判断と使用違反の責任は、複製を行う利用者に委ねられます。合衆国外 での複製に関しては、当該国の著作権法が適用され複製の妥当性と違反責任は複 製を行う利用者に委ねられます。掲載資料の著作権の帰属に関するご質問は：prangebunko@umd.edu,森のみみすけ / Mori no mimisuke,https://hdl.handle.net/1903.1/13535,Not Mapped: Prose,,1948-04-10,,,"Gordon W. Prange Collection, ゴードン W. プランゲ文庫",,,,,,,,Asia|Japan,,"Children's literature, Japanese Japan Allied occupation, 1945-1952",jpn,,,,
