F2 PID,F2 TYPE,F2 STATUS,F2 COLLECTIONS,Object Type,Identifier,Rights Statement,Title,Handle/Link,Format,Archival Collection,Date,dcterms:temporal,Description,Bibliographic Citation,Alternate Title,Creator,Creator URI,Contributor,Contributor URI,Publisher,Publisher URI,Location,Extent,Subject,Language,Rights Holder,Collection Information,Accession Number,FILES
umd:56238,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56238|hdl:1903.1/5795,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","72/13: Spiro T. Agnew (Vice presidents), circa 1967-1973",https://hdl.handle.net/1903.1/5795,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1967/1973,1961-1970|1971-1980,"72/13: Spiro T. Agnew (Vice presidents), circa 1967-1973.","Baltimore News American collection, Box 72, Folder 13, Item 5",,,,,,,,North America|United States of America|North America|United States of America,1 images; monochrome,"Government, Law, Politics|Agnew, Spiro T., 1918-1996|Courthouses|Police",,Hearst Corporation,,,umd_56238/umd_56247/image.jpg|umd_56238/umd_56247/bna-010368-0001.jpg
umd:56265,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56265|hdl:1903.1/5807,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","24/86: Dale Anderson (Politicians -- Maryland), circa 1960s",https://hdl.handle.net/1903.1/5807,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1967-03-15,1961-1970,"24/86: Dale Anderson (Politicians -- Maryland), circa 1960s.","Baltimore News American collection, Box 24, Folder 86, Item 10",,,,,,,,North America|United States of America|Maryland|Baltimore|North America|United States of America|Maryland|Baltimore,1 images; monochrome,"Government, Law, Politics|Anderson, Dale, 1916-|Money|Banks",eng,Hearst Corporation,,,umd_56265/umd_56266/image.jpg|umd_56265/umd_56266/bna-010369-0001.jpg
umd:56267,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56267|hdl:1903.1/5808,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","1136/34: Howard W. Jackson (Mayors -- Maryland -- Baltimore), 1923",https://hdl.handle.net/1903.1/5808,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1923-08-20,1921-1930,"1136/34: Howard W. Jackson (Mayors -- Maryland -- Baltimore), 1923.","Baltimore News American collection, Box 1136, Folder 34, Item 1",,,,,,,,North America|United States of America|Maryland|Baltimore|North America|United States of America|Maryland|Baltimore,1 images; monochrome,"Government, Law, Politics|Jackson, Howard W. 1877-1960",,Hearst Corporation,,,umd_56267/umd_56268/image.jpg|umd_56267/umd_56268/bna-010370-0001.jpg
umd:56269,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56269|hdl:1903.1/5809,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","282/3: McKeldin, Theodore R., 1929-1950",https://hdl.handle.net/1903.1/5809,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1929/1950,1941-1950|1921-1930|1931-1940,"282/3: McKeldin, Theodore R., 1929-1950.","Baltimore News American collection, Box 282, Folder 3",,,,,,,,North America|United States of America|Maryland|Baltimore|North America|United States of America|Maryland|Baltimore,1 images; monochrome,"Government, Law, Politics|McKeldin, Theodore R. (Theodore Roosevelt), 1900-1974",,Hearst Corporation,,,umd_56269/umd_56270/image.jpg|umd_56269/umd_56270/bna-010367-0001.jpg
umd:56271,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56271|hdl:1903.1/5810,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","1216/15: Lilli M. Jackson, circa 1971",https://hdl.handle.net/1903.1/5810,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1971-01-20,1971-1980,"1216/15: Lilli M. Jackson, circa 1971.","Baltimore News American collection, Box 1316, Folder 15, Item 2",,,,,,,,North America|United States of America|Maryland|Baltimore|North America|United States of America|Maryland|Baltimore,1 images; monochrome,"Government, Law, Politics|Civil Rights, Civic Engagement|Jackson, Lillie Mae Carroll 1889-1975",,Hearst Corporation,,,umd_56271/umd_56273/image.jpg|umd_56271/umd_56273/bna-010364-0001.jpg
umd:56275,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56275|hdl:1903.1/5812,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","130/2: Juanita Jackson Mitchell, 1955-1985",https://hdl.handle.net/1903.1/5812,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1955/1985,1981-1990|1951-1960|1961-1970|1971-1980,"130/2: Juanita Jackson Mitchell, 1955-1985.","Baltimore News American collection, Box 130, Folder 2, Item 16",,,,,,,,North America|United States of America|North America|United States of America,1 images; monochrome,"Government, Law, Politics|Civil Rights, Civic Engagement|Mitchell, Juanita Jackson, 1913-",,Hearst Corporation,,,umd_56275/umd_56276/image.jpg|umd_56275/umd_56276/bna-010366-0001.jpg
umd:56277,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56277|hdl:1903.1/5813,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","677/17: William L. Marbury (Lawyers), circa 1923-1924",https://hdl.handle.net/1903.1/5813,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1923/1924,1921-1930,"677/17: William L. Marbury (Lawyers), circa 1923-1924.","Baltimore News American collection, Box 677, Folder 17, Item 2",,,,,,,,North America|United States of America|Maryland|Baltimore|North America|United States of America|Maryland|Baltimore,1 images; monochrome,"Government, Law, Politics|Marbury, William L.",,Hearst Corporation,,,umd_56277/umd_56278/image.jpg|umd_56277/umd_56278/bna-010365-0001.jpg
umd:56279,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56279|hdl:1903.1/5814,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","605/10: Joseph Meyerhoff (Civic leaders), circa 1970-1985",https://hdl.handle.net/1903.1/5814,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1970/1985,1971-1980|1981-1990,"605/10: Joseph Meyerhoff (Civic leaders), circa 1970-1985.","Baltimore News American collection, Box 605, Folder 10, Item 29",,,,,,,,North America|United States of America|Maryland|Baltimore|North America|United States of America|Maryland|Baltimore,1 images; monochrome,"Economics, Business, Commerce, Labor|Meyerhoff, Joseph 1899-1985",,Hearst Corporation,,,umd_56279/umd_56280/image.jpg|umd_56279/umd_56280/bna-010386-0001.jpg
umd:56294,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56294|hdl:1903.1/5821,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","1444/43: James H. Pollack (Politicians -- Maryland -- Baltimore), circa 1933-1979",https://hdl.handle.net/1903.1/5821,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1933/1979,1931-1940|1941-1950|1951-1960|1961-1970|1971-1980,"1444/43: James H. Pollack (Politicians -- Maryland -- Baltimore), circa 1933-1979.","Baltimore News American collection, Box 1444, Folder 43, Item 18",,,,,,,,North America|United States of America|Maryland|Baltimore|North America|United States of America,1 images; monochrome,"Sports, Recreation|Government, Law, Politics|Pollack, James H.|Baseball",,Hearst Corporation,,,umd_56294/umd_56295/image.jpg|umd_56294/umd_56295/bna-010388-0001.jpg
umd:56733,UMD_IMAGE,Private,umd:3392,http://purl.org/dc/dcmitype/Image,umd:56733|hdl:1903.1/5907,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://digital.lib.umd.edu/archivesum/contact.jsp.","592/11: Poliomyelitis, 1937-1953",https://hdl.handle.net/1903.1/5907,http://vocab.lib.umd.edu/form#photographs,http://vocab.lib.umd.edu/collection#0378-MDHC,1937/1953,1941-1950,"592/11: Poliomyelitis, 1937-1953.  (Item 28 - George Miller, stricken with polio, in an iron lung at the Baltimore City Hospital. He is accompanied by his wife, Mary Miller. This picture was originally published as part of a piece to help raise money for the March of Dimes. Caption reads: ""...while George Miller is pictured with his wife. City Hospitals [sic] has broadcast an appeal for nurses to help care for the influx of polio patients."" Baltimore, Maryland, July 21, 1953).","Baltimore News American collection, Box 592, Folder 11, Item 28",,,,,,,,North America|United States of America|Maryland|Baltimore|North America|United States of America|Maryland|Baltimore,1 images; monochrome,"Government, Law, Politics|Newspapers|Poliomyelitis",en-US,Hearst Corporation,,,umd_56733/umd_56739/image.jpg|umd_56733/umd_56739/bna-010468-0001.jpg
