F2 PID,F2 TYPE,F2 STATUS,F2 COLLECTIONS,Object Type,Identifier,Rights Statement,Title,Handle/Link,Format,Archival Collection,Date,dcterms:temporal,Description,Bibliographic Citation,Alternate Title,Creator,Creator URI,Contributor,Contributor URI,Publisher,Publisher URI,Location,Extent,Subject,Language,Rights Holder,Collection Information,Accession Number,FILES
umd:982,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:982|hdl:1903.1/273|wfc-essay01.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,Map and Bird's Eye View,https://hdl.handle.net/1903.1/273,http://vocab.lib.umd.edu/form#essays,,2001-21,,"Opening day of the 1876 Centennial Exhibition in Philadelphia was a spectacular festival of flags, music, and a one-hundred gun salute. After President Grant gave his opening address, the signal was given to unfurl and raise every flag and insignia simultaneously on the entire fairground. A chorus of one thousand began to sing, accompanied by an orchestra and chimes, and the barrage of one hundred rifles symbolized a century of independence for the United States of America (McCabe). This was the first major international world's fair in North America, and while many foreigners argued the United States did not have anything to show, the country shone through displaying its growth into a major industrial power.","Fair Centennial Exhibition (1876 : Philadelphia, Pa.), , Art & Architecture Libraries",,Katie Chiles,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,2 image,"Centennial Exhibition (1876: Philadelphia, Pa.)|Advertising cards|Exhibitions. Design and construction|Exhibition buildings|1801-1900|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_982/umd_2201/tei.xml
umd:1000,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:1000|hdl:1903.1/14|22Paris.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,Paris 1900: Grand Palais,https://hdl.handle.net/1903.1/14,http://vocab.lib.umd.edu/form#essays,,2001-21,,"The Grand Palais served as one of the main buildings that helped solidify France as the supreme leader in the Arts. Like the Eiffel Tower in 1889, it served as a focus for the Exposition. However, the two structures were very different. The Grand Palais placed much greater emphasis on ornamentation. The famous French writer Paul Morand stated that, ""while in 1889 architecture was happily on the threshold of an age of iron and steel, in 1900 it had gone back to styles such as those taught at the Beaux-Arts."" The Grand Palais incorporated what is commonly referred to as ""Beaux-Arts style"", which was characterized by formal planning and rich decoration.","Fair Exposition universelle internationale de 1900 (Paris, France), , Art & Architecture Libraries",,Sesan Iwarere,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,1 image,"Exposition universelle internationale de 1900 (Paris, France)|Grand Palais (Paris, France)|Exhibition buildings -- Design and construction|1801-1900|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_1000/umd_2182/tei.xml
umd:1001,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:1001|hdl:1903.1/19|23Paris.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,Paris 1900: Petit Palais,https://hdl.handle.net/1903.1/19,http://vocab.lib.umd.edu/form#essays,,2001-21,,"Along with the Grand Palais and the Pont Alexandre III, the Petit Palais served as one of the main focuses of the International Exhibition of 1900 and helped solidify the position of France as artistic world leader. Despite its inferiority in size to the Grand Palais, contemporary critics noted that the Petit Palais is of ""equal importance in creating an impression of the artistic success of the Exhibition"" (Boyd, 194). From its inception, it was built to serve as a permanent gallery of painting and sculpture.","Fair Exposition universelle internationale de 1900 (Paris, France), , Art & Architecture Libraries",,Sesan Iwarere,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,1 image,"Exposition universelle internationale de 1900 (Paris, France)|Muse?? du Petit Palais (Paris, France)|Exhibition buildings -- Design and construction|1801-1900|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_1001/umd_2179/tei.xml
umd:1002,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:1002|hdl:1903.1/15|24Buffalo.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,Buffalo 1901: Pan-American Exposition Bird's Eye View of Grounds and Map of Exposition,https://hdl.handle.net/1903.1/15,http://vocab.lib.umd.edu/form#essays,,2001-21,,"These two images, the bird's eye view and the map of the exposition, are views of the entire exposition grounds. The map can be considered to be a completely accurate plan of the fairgrounds. It is on the back of the October 15th program for the fair, and measures fifteen inches by eight inches. The program, which Time Saver Guidebooks sold for five cents, included all of the events that were scheduled to take place on that day, a few articles about the most popular attractions, and advertisements for restaurants and hotels in the area. The colors of the program are dull and dark, and the layout is simple. The map itself depicts all of the major buildings that hosted events or popular exhibits. A bird's eye view however, is an artistic rendering, and therefore does not necessarily have to be correct. This particular image was found in a pamphlet called ""Pan-American Exposition, Buffalo 1901"", which featured many brilliantly colored pictures of the fair, as well as a brief background and summary of events. The image is approximately twelve inches by eight inches and takes up two pages of the pamphlet. The original drawing for the bird's eye view was drawn by the office of Carr??re & Hastings, and was edited by Harry Fenn. I shall study the accuracy of the bird's eye view, the general layout and organization of the exposition, the style of the architecture, the unique and novel color scheme, and the wide use of sculpture.","Fair Pan-American Exposition (1901 : Buffalo, N.Y.), , Art & Architecture Libraries",,Matt Linkswiler,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,2 image,"Pan-American Exposition (1901 : Buffalo, N.Y.)|Exhibitions|1901-2000|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_1002/umd_2178/tei.xml
umd:1003,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:1003|hdl:1903.1/13|27London.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,The Court of Honor,https://hdl.handle.net/1903.1/13,http://vocab.lib.umd.edu/form#essays,,2001-21,,"-Robert W. Carden, Architectural Review July, 1908","Fair Franco-British Exhibition (1908 : London, England), , Art & Architecture Libraries",,Katie Chiles,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,1 image,"Kiralfy, Imre|Franco-British Exhibition (1908 : London, England)|Court of Honor. Franco-British Exhibition (1908 : London, England)|Exhibition buildings -- Design and construction|1901-2000|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_1003/umd_2183/tei.xml
umd:1004,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:1004|hdl:1903.1/16|25Buffalo.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,Temple of Music,https://hdl.handle.net/1903.1/16,http://vocab.lib.umd.edu/form#essays,,2001-21,,"In the annals of World's Fairs, the 1901 Buffalo fair is listed, as a matter of record. However, it is one of the lesser-remembered fairs. This is not due to a lack of planning or physical appeal, but rather to the fact that on September 6, 1901, President William McKinley was shot and killed at the Temple of Music. This was the kind of event that is so infamous and carries such bad press that it condemns everything it touches, from the setting, the surrounding events, and the people involved, to the same black blanket of notoriety. Due to the President's assassination, the popularity of the Fair spiraled downward. Despite the deploring of the Fair, however, it was home to some remarkable buildings.","Fair Pan-American Exposition (1901 : Buffalo, N.Y.), , Art & Architecture Libraries",,Ricardo Gonzalez,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,1 image,"Pan-American Exposition (1901 : Buffalo, N.Y.)|Temple of Music. Pan-American Exposition (1901 : Buffalo, N.Y.)|Electric Tower. Pan-American Exposition (1901 : Buffalo, N.Y.)|Exhibition buildings -- Design and construction|1901-2000|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_1004/umd_2176/tei.xml
umd:1005,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:1005|hdl:1903.1/17|28London.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,"London 1908, Machinery Hall",https://hdl.handle.net/1903.1/17,http://vocab.lib.umd.edu/form#essays,,2001-21,,"This image represents the entrance to Machinery Hall of the 1908 Franco-British Exhibition in London. The original is one in a series of 3.5 x 5.5-inch postcards, printed by Valentine & Sons Ltd. The Machinery Hall covered 125,000 square yards. In this image it looks very elaborate, garish, and reminiscent of Gothic architecture. The flags seen on the top of the building are French and British. There are decorations looking like lanterns around the perimeter of the building. Within the context of the fair, the pavilion was vast yet not imposing.","Fair Franco-British Exhibition (1908 : London, England), , Art & Architecture Libraries",,Mariya Levin,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,1 image,"Franco-British Exhibition (1908 : London, England)|Machinery Halls. Franco-British Exhibition (1908 : London, England)|Exhibition buildings -- Design and construction|1901-2000|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_1005/umd_2177/tei.xml
umd:1006,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:1006|hdl:1903.1/18|29SanFrancisco.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,Palace of Fine Arts,https://hdl.handle.net/1903.1/18,http://vocab.lib.umd.edu/form#essays,,2001-21,,"The Palace of Fine Arts was one of the finest building constructed for the 1915 Panama Pacific International Exposition in San Francisco. It was one of the most important symbols of the fair, situated near its center, at the end of the axis on which were located the Courts of the Four Seasons and of the Universe at the center, and the Court of Abundance, with the Machinery Palace framing the other side.","Fair Panama-Pacific International Exposition (1915 : San Francisco, Calif.), , Art & Architecture Libraries",,James Yu,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,1 image,"Maybeck, Bernard R.|Panama-Pacific International Exposition (1915 : San Francisco, Calif.)|Palace of Fine Arts (San Francisco)|Exhibition buildings -- Design and construction|1901-2000|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_1006/umd_2194/tei.xml
umd:1007,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:1007|hdl:1903.1/27|30Chicago.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,A Century of Progress Exposition Official Book of Views,https://hdl.handle.net/1903.1/27,http://vocab.lib.umd.edu/form#essays,,2001-21,,"Allen D AlbertCentury of Progress Exposition, Official Viewbook.","Fair Century of Progress International Exposition (1933-1934 : Chicago, Ill.), , Art & Architecture Libraries",,Katie Chiles,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,1 image,"Century of Progress International Exposition (1933-1934 : Chicago, Ill.)|Exhibitions|Exhibition buildings|1901-2000|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_1007/umd_2192/tei.xml
umd:1008,UMD_TEI,Complete,umd:2,http://purl.org/dc/dcmitype/Text,umd:1008|hdl:1903.1/21|31Paris.xml,This text is freely available for the purpose of academic teaching and research provided the text is distributed with the header information provided.,Belgian Pavilion,https://hdl.handle.net/1903.1/21,http://vocab.lib.umd.edu/form#essays,,2001-21,,"The International Exposition of 1937 marked a competitive showing of national pavilions. The large representation of foreign nations was quite remarkable given that the Exposition was held during the Great Depression. The Belgian Pavilion had pride of place among these national pavilions. Its chief architect was Henry Van de Velde (1863-1957). A major pioneer who at the very beginning of the twentieth century helped Belgium establish a leading role in the Art Nouveau movement, Van de Velde was intrigued by the theme of the fair, the connection between the arts and techniques of modern life.","Fair Exposition internationale (1937 : Paris, France), , Art & Architecture Libraries",,Sesan Iwarere,,,,University of Maryland Libraries,,North America|United States of America|Maryland|College Park,1 image,"Exposition internationale (1937 : Paris, France)|Belgium Building. Exposition internationale (1937 : Paris, France)|Exhibition buildings -- Design and construction|1901-2000|Essay|Architecture, Landscape, Historic Places",eng,,,,umd_1008/umd_2180/tei.xml
